day;month;year;day;kw;desc;kanton
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Appenzell Innerrhoden
15;August;2018;Mi;KW 33;Mariä Himmelfahrt;Kanton Appenzell Innerrhoden
22;September;2018;Sa;KW 38;St. Mauritiustag;Kanton Appenzell Innerrhoden
01;November;2018;Do;KW 44;Allerheiligen;Kanton Appenzell Innerrhoden
08;Dezember;2018;Sa;KW 49;Mariä Empfängnis;Kanton Appenzell Innerrhoden
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Appenzell Innerrhoden
26;Dezember;2018;Mi;KW 52;Stephanstag;Kanton Appenzell Innerrhoden
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Wallis
19;März;2017;So;KW 11;St. Josef;Kanton Wallis
23;April;2017;So;KW 16;Georgstag;Kanton Wallis
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Wallis
13;Juni;2017;Di;KW 24;St. Antonius;Kanton Wallis
15;Juni;2017;Do;KW 24;Herrgottstag;Kanton Wallis
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Wallis
15;August;2017;Di;KW 33;Mariä Himmelfahrt;Kanton Wallis
29;August;2017;Di;KW 35;St. Johannes Enthauptung;Kanton Wallis
01;November;2017;Mi;KW 44;Allerheiligen;Kanton Wallis
08;Dezember;2017;Fr;KW 49;Mariä Empfängnis;Kanton Wallis
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Wallis
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Wallis
19;März;2018;Mo;KW 12;St. Josef;Kanton Wallis
23;April;2018;Mo;KW 17;Georgstag;Kanton Wallis
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Wallis
31;Mai;2018;Do;KW 22;Herrgottstag;Kanton Wallis
13;Juni;2018;Mi;KW 24;St. Antonius;Kanton Wallis
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Wallis
15;August;2018;Mi;KW 33;Mariä Himmelfahrt;Kanton Wallis
29;August;2018;Mi;KW 35;St. Johannes Enthauptung;Kanton Wallis
01;November;2018;Do;KW 44;Allerheiligen;Kanton Wallis
08;Dezember;2018;Sa;KW 49;Mariä Empfängnis;Kanton Wallis
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Wallis
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Basel Landschaft
06;März;2017;Mo;KW 10;Fasnacht;Kanton Basel Landschaft
08;März;2017;Mi;KW 10;Fasnachts Mittwoch;Kanton Basel Landschaft
14;April;2017;Fr;KW 15;Karfreitag;Kanton Basel Landschaft
17;April;2017;Mo;KW 16;Ostermontag;Kanton Basel Landschaft
01;Mai;2017;Mo;KW 18;Tag der Arbeit;Kanton Basel Landschaft
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Basel Landschaft
05;Juni;2017;Mo;KW 23;Pfingstmontag;Kanton Basel Landschaft
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Basel Landschaft
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Basel Landschaft
26;Dezember;2017;Di;KW 52;Stephanstag;Kanton Basel Landschaft
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Basel Landschaft
19;Februar;2018;Mo;KW 08;Fasnacht;Kanton Basel Landschaft
21;Februar;2018;Mi;KW 08;Fasnachts Mittwoch;Kanton Basel Landschaft
30;März;2018;Fr;KW 13;Karfreitag;Kanton Basel Landschaft
02;April;2018;Mo;KW 14;Ostermontag;Kanton Basel Landschaft
01;Mai;2018;Di;KW 18;Tag der Arbeit;Kanton Basel Landschaft
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Basel Landschaft
21;Mai;2018;Mo;KW 21;Pfingstmontag;Kanton Basel Landschaft
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Basel Landschaft
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Basel Landschaft
26;Dezember;2018;Mi;KW 52;Stephanstag;Kanton Basel Landschaft
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Zug
14;April;2017;Fr;KW 15;Karfreitag;Kanton Zug
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Zug
15;Juni;2017;Do;KW 24;Fronleichnam;Kanton Zug
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Zug
15;August;2017;Di;KW 33;Mariä Himmelfahrt;Kanton Zug
08;September;2017;Fr;KW 36;Mariä Geburt;Kanton Zug
01;November;2017;Mi;KW 44;Allerheiligen;Kanton Zug
08;Dezember;2017;Fr;KW 49;Mariä Empfängnis;Kanton Zug
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Zug
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Zug
30;März;2018;Fr;KW 13;Karfreitag;Kanton Zug
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Zug
31;Mai;2018;Do;KW 22;Fronleichnam;Kanton Zug
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Zug
15;August;2018;Mi;KW 33;Mariä Himmelfahrt;Kanton Zug
08;September;2018;Sa;KW 36;Mariä Geburt;Kanton Zug
01;November;2018;Do;KW 44;Allerheiligen;Kanton Zug
08;Dezember;2018;Sa;KW 49;Mariä Empfängnis;Kanton Zug
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Zug
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Zürich
14;April;2017;Fr;KW 15;Karfreitag;Kanton Zürich
17;April;2017;Mo;KW 16;Ostermontag;Kanton Zürich
01;Mai;2017;Mo;KW 18;Tag der Arbeit;Kanton Zürich
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Zürich
05;Juni;2017;Mo;KW 23;Pfingstmontag;Kanton Zürich
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Zürich
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Zürich
26;Dezember;2017;Di;KW 52;Stephanstag;Kanton Zürich
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Zürich
30;März;2018;Fr;KW 13;Karfreitag;Kanton Zürich
02;April;2018;Mo;KW 14;Ostermontag;Kanton Zürich
01;Mai;2018;Di;KW 18;Tag der Arbeit;Kanton Zürich
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Zürich
21;Mai;2018;Mo;KW 21;Pfingstmontag;Kanton Zürich
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Zürich
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Zürich
26;Dezember;2018;Mi;KW 52;Stephanstag;Kanton Zürich
01;Januar;2017;So;KW 52;Neujahrstag;Schweiz
02;Januar;2017;Mo;KW 01;Berchtoldstag;Schweiz
06;Januar;2017;Fr;KW 01;Heilige drei Könige;Schweiz
13;Januar;2017;Fr;KW 02;Alter Silvester;Schweiz
17;Januar;2017;Di;KW 03;St. Antoniustag;Schweiz
20;Januar;2017;Fr;KW 03;Fest des hl. Sebastian;Schweiz
21;Januar;2017;Sa;KW 03;St. Meinradstag;Schweiz
02;Februar;2017;Do;KW 05;Mariä Lichtmess;Schweiz
03;Februar;2017;Fr;KW 05;St. Blasius;Schweiz
05;Februar;2017;So;KW 05;St. Agatha;Schweiz
01;März;2017;Mi;KW 09;Jahrestag Ausrufung Republik Neuenburg;Schweiz
01;März;2017;Mi;KW 09;Aschermittwoch;Schweiz
06;März;2017;Mo;KW 10;Fridolinstag;Schweiz
06;März;2017;Mo;KW 10;Fasnacht;Schweiz
08;März;2017;Mi;KW 10;Fasnachts Mittwoch;Schweiz
19;März;2017;So;KW 11;St. Josef;Schweiz
21;März;2017;Di;KW 12;St. Benediktstag;Schweiz
06;April;2017;Do;KW 14;Näfelser Fahrt;Schweiz
14;April;2017;Fr;KW 15;Karfreitag;Schweiz
17;April;2017;Mo;KW 16;Ostermontag;Schweiz
23;April;2017;So;KW 16;Georgstag;Schweiz
26;April;2017;Mi;KW 17;Kirchenfeiertag;Schweiz
01;Mai;2017;Mo;KW 18;Heiliger Sigismund;Schweiz
01;Mai;2017;Mo;KW 18;Tag der Arbeit;Schweiz
01;Mai;2017;Mo;KW 18;Kirchweihfest;Schweiz
01;Mai;2017;Mo;KW 18;St. Johannes;Schweiz
12;Mai;2017;Fr;KW 19;St. Pankratius;Schweiz
25;Mai;2017;Do;KW 21;Auffahrt;Schweiz
29;Mai;2017;Mo;KW 22;St. Burkard;Schweiz
05;Juni;2017;Mo;KW 23;Pfingstmontag;Schweiz
13;Juni;2017;Di;KW 24;St. Antonius;Schweiz
15;Juni;2017;Do;KW 24;Fronleichnam;Schweiz
23;Juni;2017;Fr;KW 25;Fest der Unabhängigkeit Jura;Schweiz
29;Juni;2017;Do;KW 26;St. Peter und Paul;Schweiz
02;Juli;2017;So;KW 26;Mariä Heimsuchung;Schweiz
02;Juli;2017;So;KW 26;Germanstag;Schweiz
04;Juli;2017;Di;KW 27;St. Ulrich;Schweiz
25;Juli;2017;Di;KW 30;St. Jakob;Schweiz
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Schweiz
10;August;2017;Do;KW 32;St. Laurentius;Schweiz
15;August;2017;Di;KW 33;Mariä Himmelfahrt;Schweiz
29;August;2017;Di;KW 35;St. Johannes Enthauptung;Schweiz
01;September;2017;Fr;KW 35;Verenentag;Schweiz
02;September;2017;Sa;KW 35;St. Justus;Schweiz
07;September;2017;Do;KW 36;Genfer Bettag;Schweiz
08;September;2017;Fr;KW 36;Mariä Geburt;Schweiz
14;September;2017;Do;KW 37;Engelweihe;Schweiz
14;September;2017;Do;KW 37;Heiligkreuztag;Schweiz
18;September;2017;Mo;KW 38;Bettagsmontag;Schweiz
22;September;2017;Fr;KW 38;St. Mauritiustag;Schweiz
25;September;2017;Mo;KW 39;St. Niklaus von Flüe;Schweiz
29;September;2017;Fr;KW 39;St. Michael;Schweiz
30;September;2017;Sa;KW 39;St. Urs und Viktor;Schweiz
30;September;2017;Sa;KW 39;St. Hieronymus;Schweiz
01;Oktober;2017;So;KW 39;Heilige Theresia;Schweiz
02;Oktober;2017;Mo;KW 40;St. Leodegar;Schweiz
16;Oktober;2017;Mo;KW 42;Gallustag;Schweiz
20;Oktober;2017;Fr;KW 42;Wendelinstag;Schweiz
01;November;2017;Mi;KW 44;Allerheiligen;Schweiz
11;November;2017;Sa;KW 45;St. Martin;Schweiz
26;November;2017;So;KW 47;St. Konrad;Schweiz
30;November;2017;Do;KW 48;Andreastag;Schweiz
08;Dezember;2017;Fr;KW 49;Mariä Empfängnis;Schweiz
13;Dezember;2017;Mi;KW 50;Heilige Lucia;Schweiz
25;Dezember;2017;Mo;KW 52;Weihnachten;Schweiz
26;Dezember;2017;Di;KW 52;Stephanstag;Schweiz
31;Dezember;2017;So;KW 52;Wiederherstellung der Republik Genf;Schweiz
01;Januar;2018;Mo;KW 01;Neujahrstag;Schweiz
02;Januar;2018;Di;KW 01;Berchtoldstag;Schweiz
06;Januar;2018;Sa;KW 01;Heilige drei Könige;Schweiz
13;Januar;2018;Sa;KW 02;Alter Silvester;Schweiz
17;Januar;2018;Mi;KW 03;St. Antoniustag;Schweiz
20;Januar;2018;Sa;KW 03;Fest des hl. Sebastian;Schweiz
21;Januar;2018;So;KW 03;St. Meinradstag;Schweiz
02;Februar;2018;Fr;KW 05;Mariä Lichtmess;Schweiz
03;Februar;2018;Sa;KW 05;St. Blasius;Schweiz
05;Februar;2018;Mo;KW 06;St. Agatha;Schweiz
14;Februar;2018;Mi;KW 07;Aschermittwoch;Schweiz
19;Februar;2018;Mo;KW 08;Fasnacht;Schweiz
21;Februar;2018;Mi;KW 08;Fasnachts Mittwoch;Schweiz
01;März;2018;Do;KW 09;Jahrestag Ausrufung Republik Neuenburg;Schweiz
06;März;2018;Di;KW 10;Fridolinstag;Schweiz
19;März;2018;Mo;KW 12;St. Josef;Schweiz
21;März;2018;Mi;KW 12;St. Benediktstag;Schweiz
30;März;2018;Fr;KW 13;Karfreitag;Schweiz
02;April;2018;Mo;KW 14;Ostermontag;Schweiz
05;April;2018;Do;KW 14;Näfelser Fahrt;Schweiz
23;April;2018;Mo;KW 17;Georgstag;Schweiz
26;April;2018;Do;KW 17;Kirchenfeiertag;Schweiz
01;Mai;2018;Di;KW 18;Heiliger Sigismund;Schweiz
01;Mai;2018;Di;KW 18;Tag der Arbeit;Schweiz
01;Mai;2018;Di;KW 18;Kirchweihfest;Schweiz
01;Mai;2018;Di;KW 18;St. Johannes;Schweiz
10;Mai;2018;Do;KW 19;Auffahrt;Schweiz
12;Mai;2018;Sa;KW 19;St. Pankratius;Schweiz
14;Mai;2018;Mo;KW 20;St. Burkard;Schweiz
21;Mai;2018;Mo;KW 21;Pfingstmontag;Schweiz
31;Mai;2018;Do;KW 22;Fronleichnam;Schweiz
13;Juni;2018;Mi;KW 24;St. Antonius;Schweiz
23;Juni;2018;Sa;KW 25;Fest der Unabhängigkeit Jura;Schweiz
29;Juni;2018;Fr;KW 26;St. Peter und Paul;Schweiz
02;Juli;2018;Mo;KW 27;Mariä Heimsuchung;Schweiz
02;Juli;2018;Mo;KW 27;Germanstag;Schweiz
04;Juli;2018;Mi;KW 27;St. Ulrich;Schweiz
25;Juli;2018;Mi;KW 30;St. Jakob;Schweiz
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Schweiz
10;August;2018;Fr;KW 32;St. Laurentius;Schweiz
15;August;2018;Mi;KW 33;Mariä Himmelfahrt;Schweiz
29;August;2018;Mi;KW 35;St. Johannes Enthauptung;Schweiz
01;September;2018;Sa;KW 35;Verenentag;Schweiz
02;September;2018;So;KW 35;St. Justus;Schweiz
06;September;2018;Do;KW 36;Genfer Bettag;Schweiz
08;September;2018;Sa;KW 36;Mariä Geburt;Schweiz
14;September;2018;Fr;KW 37;Engelweihe;Schweiz
14;September;2018;Fr;KW 37;Heiligkreuztag;Schweiz
17;September;2018;Mo;KW 38;Bettagsmontag;Schweiz
22;September;2018;Sa;KW 38;St. Mauritiustag;Schweiz
25;September;2018;Di;KW 39;St. Niklaus von Flüe;Schweiz
29;September;2018;Sa;KW 39;St. Michael;Schweiz
30;September;2018;So;KW 39;St. Urs und Viktor;Schweiz
30;September;2018;So;KW 39;St. Hieronymus;Schweiz
01;Oktober;2018;Mo;KW 40;Heilige Theresia;Schweiz
02;Oktober;2018;Di;KW 40;St. Leodegar;Schweiz
16;Oktober;2018;Di;KW 42;Gallustag;Schweiz
20;Oktober;2018;Sa;KW 42;Wendelinstag;Schweiz
01;November;2018;Do;KW 44;Allerheiligen;Schweiz
11;November;2018;So;KW 45;St. Martin;Schweiz
26;November;2018;Mo;KW 48;St. Konrad;Schweiz
30;November;2018;Fr;KW 48;Andreastag;Schweiz
08;Dezember;2018;Sa;KW 49;Mariä Empfängnis;Schweiz
13;Dezember;2018;Do;KW 50;Heilige Lucia;Schweiz
25;Dezember;2018;Di;KW 52;Weihnachten;Schweiz
26;Dezember;2018;Mi;KW 52;Stephanstag;Schweiz
31;Dezember;2018;Mo;KW 01;Wiederherstellung der Republik Genf;Schweiz
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Basel Stadt
14;April;2017;Fr;KW 15;Karfreitag;Kanton Basel Stadt
17;April;2017;Mo;KW 16;Ostermontag;Kanton Basel Stadt
01;Mai;2017;Mo;KW 18;Tag der Arbeit;Kanton Basel Stadt
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Basel Stadt
05;Juni;2017;Mo;KW 23;Pfingstmontag;Kanton Basel Stadt
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Basel Stadt
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Basel Stadt
26;Dezember;2017;Di;KW 52;Stephanstag;Kanton Basel Stadt
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Basel Stadt
30;März;2018;Fr;KW 13;Karfreitag;Kanton Basel Stadt
02;April;2018;Mo;KW 14;Ostermontag;Kanton Basel Stadt
01;Mai;2018;Di;KW 18;Tag der Arbeit;Kanton Basel Stadt
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Basel Stadt
21;Mai;2018;Mo;KW 21;Pfingstmontag;Kanton Basel Stadt
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Basel Stadt
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Basel Stadt
26;Dezember;2018;Mi;KW 52;Stephanstag;Kanton Basel Stadt
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Bern
02;Januar;2017;Mo;KW 01;Berchtoldstag;Kanton Bern
14;April;2017;Fr;KW 15;Karfreitag;Kanton Bern
17;April;2017;Mo;KW 16;Ostermontag;Kanton Bern
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Bern
05;Juni;2017;Mo;KW 23;Pfingstmontag;Kanton Bern
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Bern
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Bern
26;Dezember;2017;Di;KW 52;Stephanstag;Kanton Bern
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Bern
02;Januar;2018;Di;KW 01;Berchtoldstag;Kanton Bern
30;März;2018;Fr;KW 13;Karfreitag;Kanton Bern
02;April;2018;Mo;KW 14;Ostermontag;Kanton Bern
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Bern
21;Mai;2018;Mo;KW 21;Pfingstmontag;Kanton Bern
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Bern
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Bern
26;Dezember;2018;Mi;KW 52;Stephanstag;Kanton Bern
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Freiburg
14;April;2017;Fr;KW 15;Karfreitag;Kanton Freiburg
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Freiburg
15;Juni;2017;Do;KW 24;Fronleichnam;Kanton Freiburg
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Freiburg
15;August;2017;Di;KW 33;Mariä Himmelfahrt;Kanton Freiburg
01;November;2017;Mi;KW 44;Allerheiligen;Kanton Freiburg
08;Dezember;2017;Fr;KW 49;Mariä Empfängnis;Kanton Freiburg
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Freiburg
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Freiburg
30;März;2018;Fr;KW 13;Karfreitag;Kanton Freiburg
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Freiburg
31;Mai;2018;Do;KW 22;Fronleichnam;Kanton Freiburg
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Freiburg
15;August;2018;Mi;KW 33;Mariä Himmelfahrt;Kanton Freiburg
01;November;2018;Do;KW 44;Allerheiligen;Kanton Freiburg
08;Dezember;2018;Sa;KW 49;Mariä Empfängnis;Kanton Freiburg
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Freiburg
